"""Aero Nomad Airlines"" LLC","Kyrgyzstan","KA","212",""
"""AIR GEORGIA"" LTD dba Aircompany AIR GEORGIA","Georgia","DC*","",""
"""Airline ""Weltall-avia""","Russian Federation","W7*","",""
"""NOVAIR"" Limited Liability Company","Armenia","NG","206",""
"""SHIRAK AVIA"" Limited Liability Com","Armenia","5G*","740",""
"1263343 Alberta Ltd. dba Lynx Air","Canada","Y9","",""
"21 Air LLC","UNITED STATES OF AMERICA","2I*","","681"
"25only Aviation GmbH","Germany","4Q","",""
"40-Mile Air, Ltd.","UNITED STATES OF AMERICA","Q5*","",""
"2746904 Ontario Inc.","Canada","ZX","",""
